Date,Average City MPG
2000-01-01,15.540983606557377
2001-01-01,15.923809523809524
2002-01-01,15.848484848484848
2003-01-01,15.427272727272728
2004-01-01,16.154761904761905
2005-01-01,16.88095238095238
2006-01-01,17.609756097560975
2007-01-01,16.952380952380953
2008-01-01,16.39423076923077
2009-01-01,17.8125
2010-01-01,18.941860465116278
2011-01-01,18.710526315789473
2012-01-01,19.696428571428573
2013-01-01,20.322033898305083
2014-01-01,21.308823529411764
2015-01-01,21.772058823529413
2016-01-01,21.012738853503183
2017-01-01,19.896296296296295
2018-01-01,19.386138613861387
2019-01-01,19.532608695652176
2020-01-01,21.585714285714285
2021-01-01,19.853932584269664
2022-01-01,19.92079207920792
2023-01-01,19.663265306122447
2024-01-01,19.983050847457626
